
Alhambra, California Code of Ordinances


TITLE I:  GENERAL PROVISIONS
amount established by City Council resolution. Such fee shall be due and
payable in advance on January 1 of each year.



   (B)   If application is made on or after July 1 of any year, the
amount of the fee shall be one-half the annual rate for the balance of the
calendar year.



('86 Code, § 5.60.050) (Ord. 1409, passed  - - ; Am. Ord. 3758, passed  -
- ; Am. Ord. 4587, passed 6-27-11; Am. Ord. 4588, passed 7-11-11)



§ 5.60.060  EXPIRATION; RENEWALS.



   Each license and each renewal license issued pursuant to this chapter
shall expire on December 31 next following the date of its issuance. Each
such license may be renewed by making application for renewal and paying the
required fee within the time specified for the renewal of business licenses
in Chapter 5.04 of this title.



('86 Code, § 5.60.060) (Ord. 1409, passed  - - ; Am. Ord. 3758, passed  -
- )



§ 5.60.070  PENALTY.



   (A)   Whenever any permit fee required by this chapter is not paid
prior to the delinquency date, a penalty shall be due and is hereby imposed
in the manner, as of the time and in the amount specified in § 5.04.192 of
this Title 5.



('86 Code, § 5.60.070) (Ord. 3758, passed  - - )



   (B)   Whenever in this chapter any act is prohibited or is made or
declared to be unlawful or an offense or the doing of any act is required or
the failure to do any action is declared to be unlawful, the violation of any
such provision is declared to be an infraction and shall be punishable in the
manner and to the extent provided for in § 1.12.011 of this code.



('86 Code, § 1.12.011)



CHAPTER 5.64:  MOTOR BUSES



Section



   5.64.010   Definitions



   5.64.020   State operator's certificate required



   5.64.030   Age of operators



   5.64.040   Operating regulations



   5.64.050   Standing on Main Street



   5.64.060   Bond or insurance policy required



   5.64.070   License required



   5.64.080   Application; information to be shown



   5.64.090   Investigation; approval or denial



   5.64.100   Issuance; change of schedule, route and termini



   5.64.110   Authority to grant



   5.64.120   Schedule of fees



   5.64.130   Limitation on issuance



   5.64.140   Revocation



Cross-reference:



   For further provisions concerning bus stands, see Chapter 11.32



§ 5.64.010  DEFINITIONS.



   For the purpose of this chapter, the following definitions shall apply
unless the context clearly indicates or requires a different meaning.



   MOTOR BUS.  Includes any motor vehicle engaged in the business of
carrying passengers for hire, which is announced orally, by sign, device or
advertisement, to operate or run, or which is operated or run, over a
particular route, or to a particular point, or between particular points,
whether one or both points be within the city; or whether the streets of the
city are used en route from one point to another, both of which points are
without the city, and where stops are made within the corporate limits of the
city and passengers are taken on and discharged therefrom, and running on a
regular schedule; provided, however, that motor vehicles used exclusively for
the transportation of school children and under the direction of any school
board or any other public agency, shall not be considered motor buses within
the meaning of this section.



   STREET.  Includes any street, alley, avenue, court, lane or public
place in the city.



('86 Code, § 5.64.010) (Ord. 2015, passed  - - )



§ 5.64.020  STATE OPERATOR'S CERTIFICATE REQUIRED.



   Any person desiring to operate a motor bus within the city must hold a
certificate issued by the authority of the city to drive motor vehicles.



('86 Code, § 5.64.020) (Ord. 2015, passed  - - )  Penalty, see § 1.12.010



§ 5.64.030  AGE OF OPERATORS.



   No license to drive or operate any motor bus shall be granted to any
person under the age of 21 years.



('86 Code, § 5.64.030) (Ord. 2015, passed  - - )  Penalty, see § 1.12.010



§ 5.64.040  OPERATING REGULATIONS.



   It shall be unlawful for any person:



   (A)   To drive or operate, or cause to be driven or operated, any
motor bus upon or along any street unless there is outstanding a valid
license for each such motor bus obtained as in this chapter provided; except,
in case a motor bus is disabled another motor bus may be substituted
temporarily.



   (B)   To drive or operate, or cause to be driven or operated, any
motor bus while there is attached thereto any trailer, or any other
passenger-carrying vehicle; except, in case one motor bus becomes disabled
while on a trip and is unable to run under its own power, such disabled motor
bus may be towed.



   (C)   To permit any person to ride on the running board or fenders
of any motor bus.



   (D)   To refuse to carry any person offering himself at any regular
stopping point to be carried, and tendering the fare for the same to any
regular stopping place on the route, or between the termini thereof, unless
at the time of such offer the seats of the motor bus are fully occupied.



   (E)   To demand and charge a greater fare than that mentioned in the
application for a license.



   (F)   To discontinue the service of any motor bus earlier than the
latest run, shown by the schedule set forth in the application for a license.



   (G)   To drive any motor bus across any main line of a railroad
without first bringing the motor bus to a stop.



   (H)   To stop any motor bus or permit such bus to remain standing
upon any street for the purpose of loading or unloading passengers, if the
side of the motor bus nearest the curb of such street is more than two feet
distance from such curb.



   (I)   To add to the seating capacity of any motor bus after the
license therefor is issued, without permission of the City Council.



   (J)   To drive any motor bus during the period from one-half hour
after sunset to one-half hour before sunrise, unless the side of the body
thereof shall be effectually illuminated.



('86 Code, § 5.64.040) (Ord. 2015, passed  - - )  Penalty, see § 1.12.010



§ 5.64.050  STANDING ON MAIN STREET.



   It shall be unlawful for any person to allow or cause any motor bus to
stand on either side of Main Street, between Chapel Avenue and Raymond Avenue
for a longer period than ten minutes.



('86 Code, § 5.64.050) (Ord. 2015, passed  - - )  Penalty, see § 1.12.010



§ 5.64.060  BOND OR INSURANCE POLICY REQUIRED.



   It shall be unlawful for any owner or driver to drive or operate any
motor bus, or cause the same to be driven or operated, and no permit for the
operation thereof shall be granted, unless there is on file with the city in
full force and effect at all times either:



   (A)   A bond of the owner of such motor bus, approved by the City
Council, with a solvent and responsible surety company authorized to do
business in the state, as surety, in the sum of $10,000 conditioned that the
owner will pay all loss or damage that may result to persons or property from
the negligent operation or defective construction of each motor bus with
provision therein that such bond covers any and all busses owned, operated,
leased or controlled by the insured, or from violation of the provisions of
this chapter or of the laws of the state. Recovery on the bond shall be
limited to $5,000 for the injury or death of one person and $10,000 for the
injury or death of two or more persons in the same accident, and $500 for
injury or destruction of property. Such bond shall run to the city and shall
inure by its terms to the benefit of any and all persons suffering loss or
damage covered thereby, and shall provide that suit may be brought thereon in
any court of competent jurisdiction by any such person. The bond shall
provide that there shall be a continuing liability thereon, notwithstanding
any recovery thereon. If, at any time, in the judgment of the City Council,
the bond is not sufficient for any reason, the City Council may require such
owner to replace the bond with a policy of insurance as hereinafter provided,
satisfactory to the City Council, and in default thereof may revoke such
owner's permit and license; or



   (B)   A policy of insurance, approved by the City Council in a
solvent and responsible company authorized to do an insurance business in the
state, insuring the owner of each motor bus with the provision therein that
such policy of insurance covers any and all buses owned, operated, leased or
controlled by the insured against loss by reason of injury or damage that may
result to persons or property from the negligent operation or defective
construction of such motor bus, or from violation of this chapter or of the
laws of the state. The policy may be limited to $5,000 for the injury or
death of one person and $10,000 for the injury or death of two or more
persons in the same accident, and $500 for injury or destruction of property.
The policy of insurance shall guarantee the payment to any and all such
persons suffering injury or damage to, person or property, of any final
judgment rendered against such owner, within the limits above mentioned,
irrespec-tive of the financial condition or any acts or omissions of such
owner, and shall inure to the benefit of such person. If at any time, such
policy of insurance shall be cancelled by the company issuing the same or the
authority of such company to do business in the state shall be revoked, the
City Council, shall require the owner to replace such policy with another
policy or bond as provided, satisfactory to the City Council, and in default
thereof, may revoke such owner's permit and license.



('86 Code, § 5.64.060) (Ord. 2015, passed  - - )  Penalty, see § 1.12.010



§ 5.64.070  LICENSE REQUIRED.



   No person shall operate any motor bus as such upon any street of the
city without first applying for and obtaining a license therefor from the
City Council as provided in this chapter.



('86 Code, § 5.64.070) (Ord. 2015, passed  - - )  Penalty, see § 1.12.010



§ 5.64.080  APPLICATION; INFORMATION TO BE SHOWN.



   Application for a license to operate a motor bus shall be made in
writing, signed by the applicant, addressed to the City Council and filed
with the City Clerk and shall state;



   (A)   The route proposed to be followed in trans-porting passengers,
and the termini of the route.



   (B)   The fare to be charged for transporting passengers between the
termini and intermediate points on the route.



   (C)   The schedule to be observed, showing the time of departure
from the termini according to which it is proposed to operate the motor bus.



   (D)   Transfer points, if transfers are proposed to be used.



   (E)   The seating capacity thereof.



   (F)   The name of the owner or lessee.



('86 Code, § 5.64.080) (Ord. 2015, passed  - - )



§ 5.64.090  INVESTIGATION; APPROVAL OR DENIAL.



   The City Council shall, without unnecessary delay, cause an
investigation to be made of the appli-cation for a license to operate a motor
bus, and may grant such application as filed, or as modified or the City
Council may deny such application.



('86 Code, § 5.64.090) (Ord. 2015, passed  - - )



§ 5.64.100  ISSUANCE; CHANGE OF SCHEDULE, ROUTE AND TERMINI.



   Upon the granting of the application for a license to operate a motor
bus, as filed or modified, and the payment of the license fee fixed in §
5.64.120, the City Treasurer shall issue a license to operate over the route
and between the termini and according to the schedule filed by the applicant.
The schedule, route and termini may be changed only upon applica-tion to and
by order of the City Council.



('86 Code, § 5.64.100) (Ord. 2015, passed  - - )



§ 5.64.110  AUTHORITY TO GRANT.



   The City Manager shall have power to grant the license mentioned in
this chapter to persons who have complied with the provisions of this chapter
and any rules and regulations adopted by the Council.



('86 Code, § 5.64.110) (Ord. 1601, passed  - - )



§ 5.64.120  SCHEDULE OF FEES.



   The fees for the license required by § 5.64.070 of this code shall be
as follows:



   (A)   For each motor bus capable of seating five or less passengers
an amount established by City Council resolution per year payable quarterly
in advance.



   (B)   For each motor bus capable of seating more than five and less
than eight passengers an amount established by City Council resolution per
year payable quarterly in advance.



   (C)   For each motor bus capable of seating more than seven and less
than 16 passengers an amount established by City Council resolution per year,
payable quarterly in advance.



   (D)   For each motor bus seating more than 16 passengers an amount
established by City Council resolution per year, payable quarterly in advance.



('86 Code, § 5.64.120) (Ord. 2015, passed  - - ; Am. Ord. 4587, passed
6-27-11; Am. Ord. 4588, passed 7-11-11)



§ 5.64.130  LIMITATION ON ISSUANCE.



   No license required by § 5.64.070 shall be issued for less than three
months.



('86 Code, § 5.64.130) (Ord. 2015, passed  - - )



§ 5.64.140  REVOCATION.



   Any license issued under this chapter shall be revoked by the City
Council for any violation of the provisions of this chapter or for the
failure to pay any judgment for damage arising from the unlawful or negligent
operation of the motor bus for which the license was issued or for a
violation of any traffic ordinance of the city or the laws of the state now
in force or hereafter adopted. The City Council in the exercise of a sound
and reasonable discretion and when the public interest and safety may
require, may revoke any license issued under the provisions of this chapter.



('86 Code, § 5.64.140) (Ord. 2015, passed  - - )



CHAPTER 5.68:  TAXICABS



Section



   5.68.010   Definitions



   5.68.020   Regulations for operation



   5.68.030   Permit to engage in business required



   5.68.040   Liability insurance required



   5.68.050   Application for permit; information to be shown



   5.68.052   Regulation of rates, fares and charges



   5.68.060   Location stated on permit application; notification of
change



   5.68.070   Public necessity required for issuance; regulations
concerning insignia



   5.68.080   Issuance of permit



   5.68.090   Fees



   5.68.120   Location of taxi stands



   5.68.130   Marking stands



   5.68.140   Failure to pay fare unlawful



   5.68.150   Soliciting business



   5.68.160   Information to be displayed on exterior of taxicab



   5.68.170   Information to be displayed in interior



   5.68.180   Driver's permit required



   5.68.190   Driver's permit; application



   5.68.200   Issuance of driver's permit



   5.68.210   Fees for driver's permit



   5.68.250   State driver's license required of chauffeurs



   5.68.260   Transfer prohibited



   5.68.270   Permit card to be carried in vehicle



   5.68.280   Expiration; renewals



   5.68.290   Penalty



   5.68.300   Enforcement of chapter



§ 5.68.010  DEFINITIONS.



   For the purpose of this chapter, the following definitions shall apply
unless the context clearly indicates or requires a different meaning.



   DRIVER.  Includes every person in charge of or operating any
passenger-carrying or motor-propelled vehicle, either as agent, employee or
otherwise, under the direction of the owner, as above defined.



   OWNER.  Includes every person having use or control of, or right to
use or control any passenger-carrying automobile or motor-propelled vehicle
under ownership, lease or otherwise.



   TAXICAB.  Every automobile or motor- propelled vehicle used for the
transportation of passengers over the public streets of the city, and not
over a defined route, and irrespective of whether the operations extend
beyond the boundary limits of the city, at rates for distance traveled or for
waiting time, or for both, and such vehicle is routed under the direction of
such passenger or of such person hiring the same.



('86 Code, § 5.68.010) (Ord. 1413, passed  - - )



§ 5.68.020  REGULATIONS FOR OPERATION.



   All drivers, chauffeurs and owners of taxicabs shall be governed by the
following rules and regula-tions;



   (A)   No owner shall employ any driver who is not the holder of a
valid permit issued under the provisions of this chapter.



   (B)   No driver of any taxicab shall smoke any cigar, pipe cigarette
or burn tobacco, while passengers are occupying any of the seats of such
vehicle.



   (C)   No driver of any taxicab shall carry any passenger in the
driver's seat or compartment while there is room for such passenger in the
rear seat or passenger's compartment.



('86 Code, § 5.68.020) (Ord. 3156, passed  - - )



§ 5.68.030  PERMIT TO ENGAGE IN BUSINESS REQUIRED.



   It shall be unlawful for any owner to engage in the business of
operating any taxicab without first having obtained a permit in writing from
the city so to do.



('86 Code, § 5.68.030) (Ord. 3156, passed  - - )



§ 5.68.040  LIABILITY INSURANCE REQUIRED.



   Before any permit to engage in the business of operating a taxicab is
issued under the provisions of this chapter, the owner shall cause to be
filed in the office of the City Clerk a certificate in form satis-factory to
the city evidencing that the owner is insured by an insurance carrier
authorized to transact business in the state. Such insurance shall be in an
amount not less than $250,000 for injury to or death of one person and not
less than $500,000 for injury or death to two or more persons in one
accident, and not less than $100,000 for injury to property. The insurance
shall be maintained in force at all times during which such permit is in
force.



('86 Code, § 5.68.040) (Ord. 3156, passed  - - ; Am. Ord. 3962, passed  -
- )



§ 5.68.050  APPLICATION FOR PERMIT; INFORMATION TO BE SHOWN.



   Each applicant for a permit to engage in the business of operating a
taxicab shall file in the office of the Director of Finance an application on
a form furnished by the city, and containing such informa-tion as the
Director of Finance may require.



('86 Code, § 5.68.050) (Ord. 3156, passed  - - ; Am. Ord. 3756, passed  -
- )



§ 5.68.052  REGULATION OF RATES, FARES AND CHARGES.



   It shall be unlawful for any owner or driver of a taxicab to charge for
or collect any rate, fare or charge in excess of the amounts theretofore
approved by the City Council. Every applicant for a permit to engage in the
business of operating a taxicab shall file with his application a schedule of
the rates, fares and charges which he proposes to charge or collect for the
transportation of passengers in a taxicab. Any owner desiring to increase any
approved rates, fares or charges shall file a new or amended schedule setting
forth the new rates, fares or charges proposed to be collected. Each such
proposed original or amended schedule of rates, fares or charges shall be
submitted to the City Council and the City Council may approve, disapprove or
modify any such rates, fares or charges.



('86 Code, § 5.68.052) (Ord. 3496, passed  - - )



§ 5.68.060  LOCATION STATED ON PERMIT APPLICATION; NOTIFICATION OF CHANGE.



   Every applicant for a permit to engage in the business of operating a
taxicab shall state in his application the location in the city of his office
or headquarters. While operating under the provisions of this chapter, the
permittee shall maintain at such location an office or headquarters in charge
of a competent person; provided, however, that such permittee may from time
to time change the location of such office or headquarters, but, prior to any
such change, he shall file in the office of the Director of Finance a notice
thereof.



('86 Code, § 5.68.060) (Ord. 3156, passed  - - ; Am. Ord. 3756, passed  -
- )



§ 5.68.070  PUBLIC NECESSITY REQUIRED FOR ISSUANCE.



   No permit to engage in the business of operating a taxicab shall be
granted to any person until it has been shown to the City Manager's
satisfaction that public convenience and necessity require the operation of
such vehicle.



   (A)   No permit shall, however be issued to any person whose color
scheme, name, monogram or insignia to be used on such cars shall be in
conflict with, or, in the opinion of the City Manager, imitate any other
color scheme, monogram, name or insignia used by another concern in such
manner as to be misleading or tend to deceive or defraud the public.



   (B)   No permittee shall use or employ on his or her cars more than
two different color schemes, or any color scheme different or other than
those described in his or her application for a permit.



('86 Code, § 5.68.070) (Ord. 3156, passed  - -  )



§ 5.68.080  ISSUANCE OF PERMIT.



   Upon the filing of any such application, the Director of Finance and
the Chief of Police shall each make an investigation of the applicant, and
they shall each thereafter make a report and recommendation to the City
Manager as to the granting or the denial of such permit.



   (A)   After the receipt of such recommendations, the City Manager is
authorized to approve or deny the issuance of such permit or to approve the
issuance thereof, subject to such reasonable conditions as he or she may
impose.



   (B)   Upon approval by the City Manager of the issuance of such
permit, the Director of Finance shall issue the same pursuant to the City
Manager's instructions.



('86 Code, § 5.68.080) (Ord. 3156, passed  - - ; Am. Ord. 3756, passed  -
- )



§ 5.68.090  FEES.



   (A)   Each application shall be accompanied by an application fee in
an amount established by City Council resolution per taxicab, which fee shall
not be refundable if such permit is not issued.



   (B)   If such permit is issued, the fee shall constitute the fee for
the balance of the then current year.



   (C)   Thereafter each owner holding a permit shall pay an annual fee
of in an amount established by City Council resolution per taxicab, which fee
shall be due and payable on January 1 of each calendar year.



('86 Code, § 5.68.090) (Ord. 3156, passed  - - ; Am. Ord. 3756, passed  -
- ; Am. Ord. 3962, passed - - ; Am. Ord. 4587, passed 6-27-11; Am. Ord. 4588,
passed 7-11-11)



§ 5.68.120  LOCATION OF TAXI STANDS.



   The City Council may by resolution designate the location of taxi
stands at various locations upon the streets of the city.



('86 Code, § 5.68.120) (Ord. 3156, passed  - - )



§ 5.68.130  MARKING STANDS.



   Stands for taxicabs established in accordance with the provisions of
this chapter shall be marked by the Street Department by painting the curb
adjacent to the stand yellow, and by marking such stands with the words,
“taxi stand,” or with the words similar thereto. All stands may be
occupied for the full period of 24 hours per day.



('86 Code, § 5.68.130) (Ord. 1413, passed  - - ; Am. Ord. 3123, passed  -
- )



§ 5.68.140  FAILURE TO PAY FARE UNLAWFUL.



   It shall be unlawful for any person to refuse to pay the legal fare of
any of the vehicles mentioned in this chapter after having hired the same,
and any person who shall hire any such vehicle with the intent to defraud the
person from whom it is hired, shall be guilty of a misdemeanor.



('86 Code, § 5.68.140) (Ord. 1413, passed  - - )



§ 5.68.150  SOLICITING BUSINESS.



   It shall be unlawful for any person soliciting patronage for any of the
vehicles mentioned in this chapter to misrepresent by word, sign, hat band,
insignia or badge, the true identity of the vehicle for which such patronage
is sought.



('86 Code, § 5.68.150) (Ord. 1413, passed  - - )



§ 5.68.160  INFORMATION TO BE DISPLAYED ON EXTERIOR OF TAXICAB.



   Every vehicle operated under provisions of this chapter shall have
painted upon a door on each side of such vehicle the name of the owner or the
name under which the owner operates, together with his or her telephone
number and the vehicle number. Such vehicle and telephone number shall be
painted upon the rear of such vehicle and all letters and numbers herein
provided to be painted upon such vehicle shall be not less than two and
one-quarter inches in width and not less than five-sixteenths inch in stroke.



('86 Code, § 5.68.160) (Ord. 1600, passed  - - )



§ 5.68.170  INFORMATION TO BE DISPLAYED IN INTERIOR.



   Each vehicle operated under the provisions of this chapter shall
display in the rear of the driver's seat and in the passenger's compartment
in full view a card not less than eight by eight inches which shall have
painted thereon the name of the owner or the name under which he or she
operates, his or her business address, telephone number and the schedule of
rates charged for the use of such vehicle.



('86 Code, § 5.68.170) (Ord. 1600, passed  - - )



§ 5.68.180  DRIVER'S PERMIT REQUIRED.



   It shall be unlawful for any person to drive, operate or be in charge
of any automobile for hire without first having obtained a permit in writing
so to do from the city.



('86 Code, § 5.68.180) (Ord. 3156, passed  - - )



§ 5.68.190  DRIVER'S PERMIT; APPLICATION.



   Before any permit to operate an automobile for hire is granted, the
applicant therefor shall file in the office of the Director of Finance an
application in writing, on blanks to be furnished by the city, containing
such information as the Director of Finance may require.



('86 Code, § 5.68.190) (Ord. 3156, passed  - - ; Am. Ord. 3756, passed  -
- )



§ 5.68.200  ISSUANCE OF DRIVER'S PERMIT.



   Upon receipt of an application for a permit, the Director of Finance
and the Chief of Police shall each make an investigation of the applicant and
shall each submit a report and recommendation to the City Manager as to the
granting or denial of such permit.



   (A)   After the receipt of such recommendations, the City Manager is
authorized to approve or deny the issuance of such permit or to approve the
issuance thereof subject to such reasonable conditions as he or she may
impose.



   (B)   Upon the approval by the City Manager of the issuance of such
permit, the Director of Finance shall issue the same pursuant to the City
Manager's instructions.



('86 Code, § 5.68.200) (Ord. 3156, passed  - - ; Am. Ord. 3756, passed  -
- )



§ 5.68.210  FEES FOR DRIVER'S PERMIT.



   (A)   Each original application shall be accompanied by an
application fee in an amount established by City Council resolution, which
fee shall not be refundable if such permit is not issued.



   (B)   If such permit is issued, the application fee shall constitute
the fee for the balance of the current year.



   (C)   Thereafter, each driver holding a permit shall pay an annual
fee in an amount established by City Council resolution, which fee shall be
due and payable on January 1 of each calendar year.



('86 Code, § 5.68.210) (Ord. 3156, passed  - - ; Am. Ord. 3756, passed  -
- ; Am. Ord. 3962, passed  - - ; Am. Ord. 4587, passed 6-27-11; Am. Ord.
4588, passed 7-11-11)



§ 5.68.250  STATE DRIVER'S LICENSE REQUIRED OF CHAUFFEURS.



   All chauffeurs must present a valid state driver's license, as required
by the Motor Vehicle Act, as a condition precedent to obtain a permit.



('86 Code, § 5.68.250) (Ord. 2995, passed  - - )



§ 5.68.260  TRANSFER PROHIBITED.



   Transfer of chauffeur's permit from one chauffeur to another is
strictly prohibited and will be considered sufficient cause for the immediate
revocation of the permit of the chauffeur at fault.



('86 Code, § 5.68.260) (Ord. 1601, passed  - - )



§ 5.68.270  PERMIT CARD TO BE CARRIED IN VEHICLE.



   Chauffeurs shall at all times while operating any vehicle for hire,
carry the permit card issued under § 5.68.200.



('86 Code, § 5.68.270) (Ord. 1601, passed  - - )



§ 5.68.280  EXPIRATION; RENEWALS.



   Each permit and each renewal permit issued pursuant to this chapter
shall expire on December 31 next following the date of its issuance. Each
such permit may be renewed by making application for renewal and paying the
required fee within the time specified for the renewal of business licenses
in Chapter 5.04 of this title.



('86 Code, § 5.68.280) (Ord. 3756, passed  - - )



§ 5.68.290  PENALTY.



   Whenever any permit fee required by this chapter is not paid prior to
the delinquency date, a penalty shall be due and is hereby imposed in the
manner, as of the time and in the amount specified in § 5.04.192 of this
title.



('86 Code, § 5.68.290) (Ord. 3756, passed  - - )



§ 5.68.300  ENFORCEMENT OF CHAPTER.



   It shall be the duty of the Director of Finance to enforce each and all
of the provisions of this chapter. and the Chief of Police shall render such
assistance in the enforcement hereof as may from time to time be required by
the Director of Finance or the City Council.



('86 Code, § 5.68.300) (Ord. 3756, passed  - - )



CHAPTER 5.70:  TRANSIENT OCCUPANCY TAX



Section



   5.70.010   Definitions



   5.70.020   Tax imposed



   5.70.030   Exemptions



   5.70.040   Operator's duties



   5.70.050   Registration



   5.70.060   Reporting and remitting



   5.70.070   Penalties and interest



   5.70.080   Failure to collect and report tax; determination of tax
by Director of Finance



   5.70.090   Appeal



   5.70.100   Records



   5.70.110   Refunds; credits



   5.70.120   Actions to collect



   5.70.130   Violations; infraction



§ 5.70.010  DEFINITIONS.



   For the purpose of this chapter, the following definitions shall apply
unless the context clearly indicates or requires a different meaning.



   HOTEL.  A facility offering transient lodging accommodations to the
general public and providing additional services; such as, restaurants and
meeting rooms.



   MOTEL.  An establishment which provides transient accommodations and
contains six or more rooms with at least 25% of all rooms having direct
access to the outside without the necessity of passing through the main lobby
of the building.



   OCCUPANCY.  The use or possession, or the right to the use or
possession of any room or rooms, or portions thereof, in any hotel or motel
for dwelling, lodging or sleeping purposes.



   OPERATOR.  The person who is the proprietor of the hotel or motel,
whether in the capacity of owner, lessee, sublessee, mortgagee in possession,
licensee or any other capacity. Where the operator performs his functions
through a managing agent of any type or character other than an employee, the
managing agent shall also be deemed an OPERATOR for the purposes of this
chapter and shall have the same duties and liabilities as his principal.
Compliance with the provisions of this chapter by either the principal or the
managing agent shall, however, be considered to be compliance by both.



   RENT.  The consideration charged, whether or not received, for the
occupancy of space in a hotel or motel valued in money, whether to be
received in money, goods, labor or otherwise, including all receipts, cash,
credits and property and services of any kind or nature, without any
deduction therefrom whatsoever.



   TRANSIENT.  Any person who exercises occupancy or is entitled to
occupancy by reason of concession, permit, right of access, license or other
agreement for a period of 21 consecutive calendar days or less, counting
portions of calendar days as full days. Any such person so occupying space in
a hotel or motel shall be deemed to be a transient until the period of 21
days has expired unless there is an agreement in writing between the operator
and the occupant providing for a longer period of occupancy.



('86 Code, § 5.70.010) (Ord. 3917, passed  - - ; Am. Ord. 4040, passed  -
- )



§ 5.70.020  TAX IMPOSED.



   For the privilege of occupancy in any hotel or motel, each transient is
subject to and shall pay a tax in the amount of 12% of the rent charged by
the operator. The tax constitutes a debt owed by the transient to the city
which is extinguished only by payment to the operator or to the city. The
transient shall pay the tax to the operator of the hotel at the time the rent
is paid. If the rent is paid in install-ments, a proportionate share of the
tax shall be paid with each installment. The unpaid tax shall be due upon the
transient's ceasing to occupy space in the hotel or motel. If, for any
reason, the tax due is not paid to the operator of the hotel or motel, the
Director of Finance may require that such tax shall be paid directly to the
Director of Finance.



('86 Code, § 5.70.020) (Ord. 3917, passed  - - ; Am. Ord. 4174, passed  -
- ) Penalty, see § 5.70.130



§ 5.70.030  EXEMPTIONS.



   (A)   No tax shall be imposed upon;



      (1)   Any person as to whom, or any occupancy as to which, it
is beyond the power of the city to impose the tax herein provided;



      (2)   Any officer or employee of a foreign government who is
exempt by reason of express provision of federal law or international treaty.



      (3)   Any federal or State of California officer or employee
when on official business.



   (B)   No exemption shall be granted except upon a claim therefor
made at the time rent is collected and under penalty of perjury upon a form
prescribed by and to the Director of Finance.



('86 Code, § 5.70.030) (Ord. 3917, passed  - - ; Am. Ord. 4458, passed
2-23-04)



§ 5.70.040  OPERATOR'S DUTIES.



   Each operator shall collect the tax imposed by this chapter to the same
extent and at the same time as the rent is collected from every transient.
The amount of tax shall be separately stated from the amount of the rent
charged, and each transient shall receive a receipt for payment from the
operator. No operator of a hotel or motel shall advertise or state in any
manner, whether directly or indirectly, that the tax, or any part thereof,
will be assumed or absorbed by the operator, or that it will not be added to
the rent, or that, if added, any part will be refunded except in the manner
hereinafter provided.



('86 Code, § 5.70.040) (Ord. 3917, passed  - - )  Penalty, see § 5.70.130



§ 5.70.050  REGISTRATION.



   Within 30 days after the effective date of this chapter, or within 30
days after commencing business, whichever is later, each operator of any
hotel or motel renting occupancy to transients shall register the hotel or
motel with the Director of Finance and obtain from him a “transient
occupancy registration certificate” to be at all times posted in a
conspicuous place on the premises. The certificate shall, among other things,
state the following:



   (A)   The name of the operator;



   (B)   The address of the hotel or motel;



   (C)   The date upon which the certificate was issued;



   (D)   “This Transient Occupancy Registration Certificate signifies
that the person named on the face hereof has fulfilled the requirements of
Chapter 5.70 of the Alhambra Municipal Code, `Transient Occupancy Tax' by
registering with the Director of Finance for the purpose of collecting from
transients the Transient Occupancy Tax and remitting the tax to the Director
of Finance. This certificate does not authorize any person to conduct any
unlawful business or to conduct any lawful business in an unlawful manner,
nor to operate a hotel or motel without strictly complying with all local
applicable laws, including, but not limited to, those requiring a permit or
license from any board, commission, department or office of this city. This
certificate does not constitute a permit or license.”



('86 Code, § 5.70.050) (Ord. 3917, passed  - - )  Penalty, see § 5.70.130



§ 5.70.060  REPORTING AND REMITTING.



   Each operator shall, on or before the last day of the month following
the close of each calendar quarter, or at the close of any shorter reporting
period which may be established by the Director of Finance, make a return to
the Director of Finance on forms provided by him of the total rents charged
and received and the amount of tax collected for transient occupancies. At
the time the return is filed, the full amount of the tax collected shall be
remitted to the Director of Finance. The Director of Finance may establish
shorter reporting periods for any certificate holder if he deems it necessary
in order to insure collection of the tax and he may require further
information in the return. Returns and payments are due immediately upon
