jurisid_2019,statefp_2019,countyfp_2019,placefp_2019,stcofip_2019,full_fip_2019,basename_2019,county_name_2019,state_name_2019,region_2019,metro_nllus_2019,metro_nllus_id_2019,cbsa13_code_2019,cbsa13_name_2019,cbsa03_name_2019,s2019_dummy_2019,s2003_dummy_2019,s0319_dummy_2019,juristype_2019,summlevel_2019,summlevel2_2019,lsad_code_2019,city_cty_merge_2019,pop14_2019,pop17_2019,pop03_2019,landsqmi_2019,cbsa_sqmi_2019,sampleflag_2019,pilot_dummy_2019,survey_status_pilot_2019,status1_2019,status2_2019,respo_flag_2019,startdate_2019,enddate_2019,status_2019,progress_2019,durationinseconds_2019,finished_2019,recordeddate_2019,responseid_2019,distributionchannel_2019,userlanguage_2019,respojuris_2019,respostate_2019,respozip_2019,srjuristype_2019,resporole_2019,respootherrole_2019,respotitle_2019,respoothertitle_2019,respojuris_p_2019,respodept_p_2019,respodept_othertextp_2019,resporole_p_2019,respootherrolep_2019,jurisplan_dummy_2019,ext_plan_dummy_2019,ext_plan_juris_2019,ext_plan_title_2019,juris_masterplan_dummy_2019,mp_update_yr_2019,zo_dummy_2019,zo_alt_dummy_2019,zo_update_yr_2019,dupernacre_max_2019,hyp_densit_test_2019,hudcomp_perm_dummy_2019,hudcomp_temp_dummy_2019,tinyhome_dummy_2019,mobilehome_dummy_2019,rv_dummy_2019,min_dusize_sf_2019,adu_permit_2019,adu_permit2_2019,min_dusize_mf_2019,min_osparking_mf_2019,ugb_dummy_2019,growthmgmnt_dummy_2019,gm_popgrowthperyr_dummy_2019,gm_bpperyr_dummy_2019,gm_popgrowthperyr_2019,gm_bpperyr_2019,gm_ahexempt_2019,moratorium_2019,morat_body_2019,morat_applies_2019,morat_ahexempt_2019,if_dummy_2019,if_casebycase_2019,if_formula_dummy_2019,if_sqft_dummy_2019,if_unittype_dummy_2019,if_br_dummy_2019,if_impsurfacearea_dummy_2019,if_lotsize_dummy_2019,if_yn_2019,if_dpersqft_2019,if_dforsf_2019,if_dformf_2019,if_dnobr_2019,if_donebr_2019,if_dtwobr_2019,if_dthreebr_2019,if_dimpsurfacearea_2019,if_dlotarea_2019,if_appl_school_2019,if_appl_storm_2019,if_appl_transit_2019,if_appl_pubsafe_2019,if_appl_water_2019,if_appl_parks_2019,if_appl_waste_2019,if_appl_ah_2019,if_appl_other_2019,if_appl_othertext_2019,apfo_dummy_2019,apfo_school_dummy_2019,apfo_storm_dummy_2019,apfo_transit_dummy_2019,apfo_pubsafe_dummy_2019,apfo_water_dummy_2019,apfo_waste_dummy_2019,apfo_parks_dummy_2019,apfo_other_dummy_2019,apfo_othertext_2019,extinput_schools_2019,extinput_stormwater_2019,extinput_water_2019,extinput_hwyrds_2019,extinput_transit_2019,extinput_parks_2019,extinput_police_2019,extinput_fire_2019,ah_req_dummy_2019,pct_ah_req_2019,min_sfdu_ah_2019,min_mfdu_ah_2019,ah_fee_2019,ah_mix_design_2019,ah_quality_2019,number_ah_dus_2019,ah_noexmpt_2019,ah_bonusdens_2019,ah_buildenv_2019,ah_mindusize_2019,ah_adu_2019,ah_parking_2019,ah_ifwaiver_2019,ah_fasttrack_2019,ah_other_2019,ah_othertext_2019,ah_linkfee_2019,ah_tf_dummy_2019,ah_tf_fed_2019,ah_tf_lgov_2019,ah_tf_locrev_2019,lup_past_knowledge_2019,past_sf_amt_2019,past_sf_extent_2019,past_sf_densit_2019,past_mf_amt_2019,past_mf_undevamt_2019,past_mf_densit_2019,past_fees_2019,past_timereq_2019,past_numstaff_2019,past_extinvolve_2019,comments_2019,pilot_feedback_dummy_2019,pilot_srduration_2019,pilot_qreform_2019,pilot_qreform_text_2019,pilot_suggestions_2019,resp_nonresp_2019,apfo_other_dummySTR_2019,apfotc_2019,apfo_schooltc_2019,apfo_stormtc_2019,apfo_transittc_2019,apfo_pubsafetc_2019,apfo_watertc_2019,apfo_wastetc_2019,apfo_parkstc_2019,ah_otherSTR_2019,ah_noexmpttc_2019,ah_bondenstc_2019,ah_bldenvtc_2019,ah_mindusizetc_2019,ah_adutc_2019,ah_parkingtc_2019,ah_ifwaivertc_2019,ah_faskttracktc_2019,ah_linkfeetc_2019,ah_tftc_2019,ah_tf_fedtc_2019,ah_tf_lgovtc_2019,ah_tf_locrevtc_2019,if_pubsafetc_2019,if_parkstc_2019,if_othertc_2019,rotitle_tc_2019,rtitle_tc_2019,resporoletc_2019,if_schooltc_2019,if_stormtc_2019,if_transittc_2019,if_watertc_2019,if_wastetc_2019,if_ahtc_2019,jurisbin,popbin
"0917800","09","013","17800","09013","0901317800","Coventry","Tolland County","CT","Northeast","Hartford",17,"25540","Hartford-West Hartford-East Hartford, CT (Metro)","""Hartford, CT NECMA""",0,0,1,"town","060","060",43,,12327.175,12458,"Pop. <20,000",37.569,1514.612,0,0,"","Finished Survey","Finished Survey",1,11jan2019 10:09:46,11jan2019 10:26:08,0,100,982,1,11jan2019 10:26:10,"R_3lubmkVt11MvNTX","email","EN","Coventry","CT","06238",3,1,"Not Applicable",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,9,1,.n,13,.s,2,0,0,1,0,1,1,2,.n,1,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",2,4,4,4,1,4,2,2,0,.n,.n,.n,.n,.n,.n,.n,0,1,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,3,2,2,2,2,2,2,2,2,2,2,"",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",0,1,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",1,1,.n,.n,.n,.n,.n,.n,2,1
"0925360","09","013","25360","09013","0901325360","Ellington","Tolland County","CT","Northeast","Hartford",17,"25540","Hartford-West Hartford-East Hartford, CT (Metro)","""Hartford, CT NECMA""",0,0,1,"town","060","060",43,0,15466.713,15948,"Pop. <20,000",34.06,1514.612,0,0,"","Finished Survey","Finished Survey",1,18jan2019 06:48:39,18jan2019 07:06:49,0,100,1089,1,18jan2019 07:06:49,"R_2z8ccyPpJhbGImm","email","EN","","","06029",3,1,"Not Applicable",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,4,1,.n,13,3,2,.s,.s,.s,.s,.s,1,2,.n,5,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,1,.s,.s,0,1,0,0,0,0,0,0,0,".n",0,.s,.s,.s,.s,.s,2,2,1,1,1,2,.s,2,1,2,"",,,,"","",1,"",.s,.s,.s,.s,.s,.s,.s,.s,"",0,1,0,0,0,0,0,0,0,.s,.s,.s,.s,.n,.n,.n,".n",1,1,.n,.n,.n,.n,.n,.n,2,1
"0937910","09","013","37910","09013","0901337910","Hebron","Tolland County","CT","Northeast","Hartford",17,"25540","Hartford-West Hartford-East Hartford, CT (Metro)","""Hartford, CT NECMA""",0,1,0,"town","160","060",43,0,9602.012000000001,9550,"Pop. <20,000",36.937,,,0,"","Finished Survey","Finished Survey",1,17jan2019 15:02:28,24jan2019 15:52:23,0,100,607794,1,24jan2019 15:58:57,"R_XRrsloYXwIlJVPX","email","EN","Town of Hebron, CT","Connecticut","06248",3,1,"Not Applicable",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,5,1,.n,1,3,2,1,0,0,0,0,1,3,2,1,4,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",1,2,2,2,1,1,1,1,0,.n,.n,.n,.n,.n,.n,.n,0,1,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,3,2,1,2,3,3,3,2,2,1,2,"",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",0,1,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",1,1,.n,.n,.n,.n,.n,.n,2,1
"0944910","09","013","44910","09013","0901344910","Mansfield","Tolland County","CT","Northeast","Hartford",17,"25540","Hartford-West Hartford-East Hartford, CT (Metro)","""Hartford, CT NECMA""",0,0,1,"town","060","060",43,0,26312.843,26019,"Pop. 20,000-49,999",44.599,1514.612,0,0,"","Finished Survey","Finished Survey",1,17jan2019 14:05:19,06feb2019 12:37:41,0,100,1722741,1,06feb2019 12:37:42,"R_Z1WExDT57At9svD","email","EN","Town of Mansfield","Connecticut","06268",3,1,"Not Applicable",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,4,1,.n,99999,5,2,1,0,0,1,0,3,2,.n,5,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",1,4,4,3,2,4,2,4,1,3,3,3,1,1,3,1,0,1,0,0,0,0,0,0,1,"Per state criteria, less than 10% of all housing units in Mansfield meet state affordability criteria.  Accordingly, any applicant for a project that sets aside at least 30% of units for households meeting certain income levels is provided a higher level of deference by the courts.  If an applicant of such a project appeals a Town decision to deny (or approve with certain conditions), the burden in on the Town to demonstrate that the conditions/reasons for denial outweigh the need for affordable housing. Based on case law, that is a very difficult standard to meet.  Accordingly, such projects may be eligible for exceptions to various requirements, including but not limited to setbacks, density and parking.",0,0,.n,.n,.n,2,2,2,1,3,3,3,3,2,2,2,"Our Commission just adopted several changes related to multi-family development and establishment of affordable housing requirements on February 4th; my answers are based on those amendments even though they do not go into effect until February 15th.  Additionally, the question regarding review of outside agencies was confusing as many of these areas of review (stormwater, fire/emergency services) are performed by Town government. My answers reflect the type/frequency of review for those topics, not that these reviews are performed by other agencies.  Lastly, we are in the lengthy and arduous process of completely rewriting our zoning regulations (the first comprehensive rewrite since they were adopted in the 1950s). As part of that process, I expect additional districts to address multi-family housing as well as new districts that will allow for smaller single-family lots in areas with access to the public sewer and water service needed to support smaller lots.",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"Other incentives:",0,1,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",1,1,.n,.n,.n,.n,.n,.n,2,2
"0969220","09","013","69220","09013","0901369220","Somers","Tolland County","CT","Northeast","Hartford",17,"25540","Hartford-West Hartford-East Hartford, CT (Metro)","""Hartford, CT NECMA""",0,0,1,"town","060","060",43,0,11344.768,11284,"Pop. <20,000",28.368,1514.612,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,2,1
"0972090","09","013","72090","09013","0901372090","Stafford","Tolland County","CT","Northeast","Hartford",17,"25540","Hartford-West Hartford-East Hartford, CT (Metro)","",1,0,0,"town","060","060",43,0,11982.192,11901,"",58.036,1514.612,0,0,"","Finished Survey","Finished Survey",1,10jan2019 14:28:11,30jan2019 14:46:29,0,100,1729098,1,30jan2019 14:46:30,"R_3I4PXtZ9PATAPpv","email","EN","","","",.s,,"Skipped",,"Skipped","",,"",,"",1,.n,".n",".n",1,1,1,.n,2,2,0,1,0,0,1,0,2,3,2,3,4,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",.s,.s,.s,.s,.s,.s,.s,.s,0,.n,.n,.n,.n,.n,.n,.n,.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",0,0,.n,.n,.n,2,2,2,2,2,2,2,3,1,2,2,"",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",.s,.s,.s,.s,.s,.s,.s,.s,0,2,.n,.n,.n,.n,.n,.n,".s",.s,,.n,.n,.n,.n,.n,.n,2,1
"0976290","09","013","76290","09013","0901376290","Tolland","Tolland County","CT","Northeast","Hartford",17,"25540","Hartford-West Hartford-East Hartford, CT (Metro)","""Hartford, CT NECMA""",0,0,1,"town","060","060",43,0,14921.482,14838,"Pop. <20,000",39.627,1514.612,0,0,"","Finished Survey","Finished Survey",1,30jan2019 13:53:28,30jan2019 14:01:06,0,100,457,1,30jan2019 14:01:06,"R_D2iSrB8fDj9aOTD","email","EN","Tolland","CT","06084",3,8,"Planning and Building",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,10,1,.n,1,.s,.s,1,0,1,1,0,1,3,1,1,4,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",.s,.s,.s,.s,.s,.s,.s,.s,.s,3,.s,.s,.s,.s,2,.s,0,1,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,1,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",0,1,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",1,1,.n,.n,.n,.n,.n,.n,2,1
"0978250","09","013","78250","09013","0901378250","Vernon","Tolland County","CT","Northeast","Hartford",17,"25540","Hartford-West Hartford-East Hartford, CT (Metro)","""Hartford, CT NECMA""",0,0,1,"town","060","060",43,0,28925.986,29182,"Pop. 20,000-49,999",17.699,1514.612,0,1,"NR","Finished Survey","Finished Survey",1,12feb2019 11:34:38,12feb2019 11:55:34,0,100,1255,1,12feb2019 11:55:35,"R_b1LdJrgs019Tx4J","email","EN","Town of Vernon","CT","06066",3,1,"Not Applicable",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,7,1,.n,,3,2,1,1,0,1,0,2,3,.s,1,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",1,3,2,2,2,1,4,4,0,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,3,1,1,2,3,1,2,2,1,2,2,"The Town of Vernon has approximately 16.36% affordable housing in town.",.n,.n,.n,".n",".n",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",1,0,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",1,1,.n,.n,.n,.n,.n,.n,2,2
"1001400","10","003","01400","10003","1000301400","Arden","New Castle County","DE","South","Philadelphia",36,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","""Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA""",0,1,0,"village","160","160",47,0,450.657,359,"Pop. <20,000",.259,,,0,"","Partially Completed Survey","Partially Completed Survey",1,17jan2019 15:51:33,12feb2019 14:27:41,0,11,2241368,0,17feb2019 15:51:37,"R_1ILZlMhDkV0Y68C","email","EN","","","",.s,,"Skipped",,"Skipped","",,"",,"",.s,.s,".s",".s",.s,.s,.s,.s,,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,".s","Skipped","Skipped","Skipped",".s",".s",".s",".s",".s",.s,.s,.s,.s,.s,.s,.s,.s,.s,"Skipped",.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,"",,,,"","",1,"",.s,.s,.s,.s,.s,.s,.s,.s,"",.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",.s,,.s,.s,.s,.s,.s,.s,1,1
"1047030","10","003","47030","10003","1000347030","Middletown","New Castle County","DE","South","Philadelphia",36,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","",1,0,0,"town","160","160",43,0,19372.109,20754,"",11.608,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,1
"1050670","10","003","50670","10003","1000350670","Newark","New Castle County","DE","South","Philadelphia",36,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","""Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA""",0,0,1,"city","160","160",25,0,32289.243,33243,"Pop. 20,000-49,999",9.185,,0,0,"","Finished Survey","Finished Survey",1,21jan2019 09:51:00,22jan2019 07:56:50,0,100,79549,1,22jan2019 07:56:50,"R_3KATRe4SiNLejul","email","EN","Newark","DE","19711",2,1,"Not Applicable",2,"Not Applicable","",,"",,"",1,.n,".n",".n",1,3,1,.n,99999,5,1,1,0,1,0,0,1,1,.n,1,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",1,4,4,4,3,4,4,4,0,.n,.n,.n,.n,.n,.n,.n,.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",0,0,.n,.n,.n,2,2,1,2,3,3,3,3,2,2,3,"",,,,"","",1,"",.s,.s,.s,.s,.s,.s,.s,.s,"",.s,.s,.s,.s,.s,.s,.s,.s,0,2,.n,.n,.n,.n,.n,.n,".n",2,1,.n,.n,.n,.n,.n,.n,1,2
"1077580","10","003","77580","10003","1000377580","Wilmington","New Castle County","DE","South","",,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","""Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA""",0,0,1,"city","160",".",,0,72732.408,,"Pop. 50,000-99,999",10.904,,0,0,"","Finished Survey","Finished Survey",1,24jan2019 14:39:07,24jan2019 14:46:02,0,100,415,1,24jan2019 14:46:02,"R_2trG8DpKhWTty5L","email","EN","City of Wilmington","DE","19801",2,1,"Not Applicable",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,10,1,.n,1,5,1,1,0,0,0,0,3,2,.n,4,4,1,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",1,1,1,3,4,2,1,1,0,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,1,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"",,,,"","",,"",0,.n,.n,.n,.n,.n,.n,.n,"",1,0,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",1,1,.n,.n,.n,.n,.n,.n,1,3
"1099003","10","003","99999","10003","1000399999","New Castle County","New Castle County","DE","South","Philadelphia",36,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metro)","""Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA""",0,0,1,"county","050","050",,0,552778,555036,"Pop. >100,000",426.286,,0,0,"","Finished Survey","Finished Survey",1,28jan2019 10:07:32,14feb2019 09:56:44,0,100,1468152,1,14feb2019 09:56:45,"R_1ILQrqMH9oa80EN","email","EN","New Castle County Government","DE","19702",5,1,"Not Applicable",3,"Not Applicable","",,"",,"",1,.n,".n",".n",1,7,1,.n,22,4,1,1,0,0,1,0,3,3,1,3,2,0,0,0,0,.n,.n,.n,0,.n,.n,.n,1,0,1,1,1,0,0,0,1,".n","1,157","762",".n",".n",".n",".n",".n",".n",0,0,0,1,0,1,0,0,0,"Not Applicable",1,1,1,1,1,1,0,0,0,".n",2,4,4,4,3,4,2,4,1,4,2,2,1,1,2,4,0,1,1,0,0,0,0,0,0,".n",0,1,0,0,1,2,2,2,2,2,2,2,3,2,2,2,"",,,,"","",1,"",1,1,1,1,1,1,0,0,"",0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,".n",3,1,0,0,0,0,0,0,3,5
"1150000","11","001","50000","11001","1100150000","Washington","District of Columbia County","DC","South","Washington",52,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metro)","""Washington-Baltimore, DC-MD-VA-WV CMSA""",0,0,1,"city","160","060",25,0,658893,672391,"Pop. >100,000",61.048,,0,0,"","Finished Survey","Finished Survey",1,27feb2019 08:15:04,27feb2019 08:36:43,0,100,1299,1,27feb2019 08:36:46,"R_9nsauKSv4mkAu8p","anonymous","EN","Washington DC","DC","20024",2,1,"Not Applicable",2,"Not Applicable","",,"",,"",1,.n,".n",".n",1,7,1,.n,3,5,2,1,1,1,1,1,1,3,1,1,5,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",1,1,2,1,2,1,1,1,1,2,4,4,0,1,2,4,0,1,1,0,0,1,0,0,0,".n",1,1,1,0,1,3,2,2,2,3,3,3,2,2,3,2,"When the survey says ""single family"" I assumed it was referring to detached houses on a lot (ie with side yards), attached rowhouses and semi-detached houses. Multi-family means there are more than two dwelling units within a building.",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",0,1,1,0,0,1,0,0,1,1,1,0,1,.n,.n,.n,".n",2,1,.n,.n,.n,.n,.n,.n,1,5
"1299003","12","003","99999","12003","1200399999","Baker County","Baker County","FL","South","Jacksonville",20,"27260","Jacksonville, FL (Metro)","",1,0,0,"county","050","050",,0,27093,27537,"",585.231,,0,0,"","Finished Survey","Finished Survey",1,17jan2019 14:02:48,17jan2019 14:33:11,0,100,1822,1,17jan2019 14:33:11,"R_2agKqS6wPPxZKSF","email","EN","Baker County","FL","32063",5,1,"Not Applicable",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,9,1,.n,7,1,2,1,1,0,1,1,1,1,.n,1,4,1,0,0,0,.n,.n,.n,0,.n,.n,.n,1,0,0,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",1,0,1,0,0,0,0,0,0,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",2,3,3,3,1,2,3,3,0,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,1,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",1,0,0,0,0,0,0,0,0,2,.n,.n,.n,0,0,0,".n",1,1,1,0,1,0,0,0,3,2
"1213275","12","011","13275","12011","1201113275","Coconut Creek","Broward County","FL","South","Miami",26,"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metro)","",1,0,0,"city","160","160",25,0,56579.65,59154,"",11.85,,0,0,"","Finished Survey","Finished Survey",1,10jan2019 15:10:10,10jan2019 15:22:06,0,100,715,1,10jan2019 15:22:06,"R_3Hno8fCBgC8kx26","email","EN","City of Coconut Creek","FL","33063",2,1,"Not Applicable",2,"Not Applicable","",,"",,"",1,.n,".n",".n",1,5,1,.n,,4,1,1,0,0,0,0,4,1,.n,2,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,1,1,1,1,0,0,0,0,1,".s",".n",".n",".n",".n",".n",".n",".n",".n",0,1,0,1,0,1,0,1,1,"public art & utility undergrounding",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",4,4,4,4,4,2,2,2,1,6,2,2,1,.s,1,1,1,0,0,0,0,0,0,0,0,".n",1,1,1,0,0,3,3,2,2,3,3,2,2,2,3,2,"",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,".n",2,1,0,1,0,0,0,1,1,3
"1214125","12","011","14125","12011","1201114125","Cooper City","Broward County","FL","South","Miami",26,"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metro)","""Miami-Fort Lauderdale, FL CMSA""",0,0,1,"city","160","160",25,0,30526.834,35081,"Pop. 20,000-49,999",8.039,,0,0,"","Finished Survey","Finished Survey",1,12feb2019 14:28:04,12feb2019 14:40:23,0,100,739,1,12feb2019 14:40:24,"R_28ZkP7c6h8exrB3","email","EN","Cooper City","Fl","33328",2,1,"Not Applicable",2,"Not Applicable","",,"",,"",1,.n,".n",".n",1,12,1,.n,14,3,1,.s,.s,.s,.s,.s,.s,3,2,1,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,1,1,1,0,1,1,0,0,1,".n","Skipped","Skipped","Skipped",".s",".s",".s",".n",".n",0,0,1,1,1,1,0,0,0,"Not Applicable",1,1,0,1,1,1,0,0,0,".n",4,.s,4,3,2,3,4,4,0,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,3,2,1,2,2,1,2,2,2,1,2,"",,,,"","",1,"",1,1,0,1,1,1,0,0,"",1,0,0,0,0,0,0,0,0,2,.n,.n,.n,1,1,0,".n",2,1,0,0,1,1,0,0,1,2
