order_2003,caseno_2003,jurisid,full_fip,stfips_2003,stcofips,countyfp,statefp,placefp,survnum_2003,juris_2003,lsadc_2003,basename,areaname_2003,coname_2003,county_name,region,state_name,cmsano99_2003,cmsanm99_2003,cmsast_2003,resp1994_2003,surv1994_2003,pop00tot_2003,pop2000,land_tot_2003,sample_2003,jurtype_2003,jurtype2_2003,n_juris_2003,n_surv_2003,jurstype_2003,jurscode_2003,popcode_2003,titlcode_2003,zipcode_2003,plan_2003,planyear_2003,zoneord_2003,zoneyear_2003,maxdens_2003,maxdchng_2003,mobhome_2003,hypodev_2003,rzvote_2003,selectrz_2003,anexvote_2003,anexyear_2003,glimit_2003,grwth_limit_2003,usbusa_2003,usbdate_2003,ugb_2003,ugbdate_2003,grnbelt_2003,gbdate_2003,ull_2003,ulldate_2003,resdpace_2003,pcntcont_2003,pcntyear_2003,bcnumber_2003,moratyn_2003,morat_2003,moratpct_2003,moratst_2003,moratexp_2003,moratend_2003,mafexmp_2003,otherglm_2003,glmstart_2003,glmend_2003,impctfee_2003,ifyn_2003,if_cbc,if_formula,ifsfrate_2003,ifsinfam_2003,ifmfrate_2003,ifschool_2003,ifstorm_2003,iftransp_2003,ifpubsaf_2003,ifwater_2003,ifparkos_2003,ifwsuply_2003,ifwaste_2003,ifother_2003,ifotype1_2003,ifotype2_2003,ifotype3_2003,ifotype4_2003,afincntv_2003,afinctv2_2003,afbonus_2003,afinclzn_2003,afincpct_2003,izpctbin_2003,afhsgfee_2003,affastrk_2003,aflinkfe_2003,afother_2003,afother1_2003,afother2_2003,afother3_2003,afother4_2003,afother5_2003,afother6_2003,oprogram_2003,opstaff_2003,oppha_2003,opconvrs_2003,opwaiver_2003,opother_2003,opother1_2003,opother2_2003,opother3_2003,opother4_2003,affunits_2003,rehabpub_2003,ahpub_2003,rehabprv_2003,ahprvloc_2003,rehabfed_2003,ahprvfed_2003,aftotal_2003,afmech_2003,ahtf_2003,reg1970_2003,reg1980_2003,reg1990_2003,regchnge_2003,apfo_2003,apfodate_2003,apschool_2003,apstorm_2003,aptrans_2003,appubsaf_2003,apwater_2003,appark_2003,apother_2003,aptotal_2003,ap2subjs_2003,ap4subjs_2003,filter___2003,apfo_yn_2003,data03_2003,areakey_2003,pmsano99_2003,intptlat_2003,intptlon_2003,zoning_2003,spwlcntr_2003,pacecntl_2003,fee_sfdu_2003,dborincl_2003,spcnt2_2003,pacecnt2_2003,popcode2_2003,cmsastpc_2003,cmsaspc2_2003,impctfe2_2003,popcode3_2003,stpopjt_2003,jtstpop_2003,jtstcmpo_2003,plan2003_2003,zone_2003,ldoz_2003,hdok_2003,morat_yn_2003,ahdb_2003,ahin_2003,zndn_2003,znup_2003,pace_2003,juristype,jurisbin,popbin
1771,1771,"1299057","1205799999",12,"12057","057","12","99999","421","Hillsborough","06","Hillsborough County","FL, Hillsborough County","Hillsborough County","Hillsborough County","South","FL",8280,"Tampa-St. Petersburg-Clearwater, FL MSA",828012,1,1,644668,998948,2355226620,0,3,3,4,3,3,3,4,1,33602,1,2002,1,2002,5,1,2,1,0,.n,.s,.s,1,1,1,1993,1,1993,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,,.n,0,1,0,1,140,0,0,0,0,0,1,0,1,0,1,1,510,0,0,0,0,2000,1,7500,1,,,9500,1,1,3,3,3,0,1,.n,.n,.n,.n,.n,.n,.n,,0,0,0,1,0,1,"1299057",8280,27.966349,-82.41207900000001,6,3,0,,1,1,0,6,8280126,8280126,1,2,1263,312,31290,1,1,0,1,0,1,0,0,0,0,"county",3,5
1305,1305,"1237375","1206937375",12,"12069","069","12","37375","429","Lady Lake","60","Lady Lake","FL, Lady Lake","Lake County","Lake County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,11828,11678,17141369,0,1,1,7,4,1,1,1,2,32159,1,1997,1,2002,3,1,2,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,.n,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,211,0,0,0,0,,.s,,.s,,.s,,0,0,3,3,2,-1,2,1992,0,1,1,0,1,1,0,4,1,0,0,1,1,"1237375",5960,28.929165,-81.930888,4,0,0,,1,0,0,2,5960122,5960122,1,1,1221,1122,11292,1,1,0,0,0,1,0,0,0,0,"town",1,1
1306,1306,"1299069","1206999999",12,"12069","069","12","99999","430","Lake","06","Lake County","FL, Lake County","Lake County","Lake County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,120169,210528,2273808102,0,3,3,4,4,3,3,4,2,32772,1,.s,1,.s,2,1,2,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,.n,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,,.s,,.s,,.s,,0,0,4,4,3,-1,2,1991,0,1,1,0,1,1,0,4,1,0,0,1,1,"1299069",5960,28.795924,-81.747696,3,0,0,,1,0,0,5,5960125,5960125,1,2,1253,312,31290,1,1,1,0,0,1,0,0,0,0,"county",3,5
949,949,"1214250","1208614250",12,"12086","086","12","14250","3321","Coral Gables","58","Coral Gables","FL, Coral Gables","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,1,1,42249,42202,34015366,0,1,1,12,5,1,1,2,2,33134,1,1998,1,1998,5,1,0,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,0,0,0,0,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,0,1,0,0,0,0,0,0,0,0,.s,.s,.s,.s,.s,.s,.s,0,0,2,3,3,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"1214250",5000,25.728228,-80.27098599999999,6,0,0,,0,0,0,3,4992123,4992123,0,1,1231,1123,11293,1,1,0,1,0,0,0,0,0,0,"city",1,2
954,954,"1230000","1208630000",12,"12086","086","12","30000","419","Hialeah","58","Hialeah","FL, Hialeah","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,1,1,226419,226411,49834969,0,1,1,6,5,1,1,4,2,33010,1,2002,1,2002,5,1,0,1,0,.n,.s,.s,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,0,0,.n,.n,2,1,0,1,.s,.n,.n,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,.n,1,0,1,1,146,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,.s,,.s,,.s,2807,2,0,2,2,2,0,2,1987,1,1,1,0,0,1,,5,1,1,0,1,1,"1230000",5000,25.860474,-80.293971,6,0,0,,0,0,0,5,4992125,4992125,1,2,1251,1125,11295,1,1,0,1,0,0,0,0,0,0,"city",1,5
955,955,"1230025","1208630025",12,"12086","086","12","30025","420","Hialeah Gardens","58","Hialeah Gardens","FL, Hialeah Gardens","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,-1,0,19297,19238,6370141,0,1,1,12,9,1,1,1,5,33016,1,2000,1,.s,4,1,0,2,1,.n,.s,.s,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,1,.n,.n,.n,.n,.n,.n,.n,0,0,.s,.s,2,-1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"1230025",5000,25.878342,-80.348072,5,0,0,,0,0,0,2,4992122,4992122,1,1,1221,1122,11292,1,1,0,0,0,0,0,0,0,0,"city",1,1
957,957,"1232275","1208632275",12,"12086","086","12","32275","3329","Homestead","58","Homestead","FL, Homestead","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,1,1,31909,32046,36994714,0,1,1,12,5,1,1,2,7,33030,1,.s,.s,.s,.s,2,2,0,0,.n,0,.n,1,1,0,.n,0,.n,0,.n,1,.s,0,.n,.n,.n,1,2,.s,2002,1,2004,0,.s,.n,.n,2,1,0,1,.5,.n,.n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,,.s,,.s,,.s,,,.s,.s,.s,.s,.s,2,2001,0,1,1,1,1,1,0,5,1,1,0,1,1,"1232275",5000,25.47119,-80.46812199999999,,1,0,,0,1,0,3,4992123,4992123,1,1,1231,1123,11293,1,,0,0,1,0,0,1,0,0,"city",1,2
961,961,"1245000","1208645000",12,"12086","086","12","45000","439","Miami","58","Miami","FL, Miami","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,0,1,362470,362563,92392619,0,1,1,2,2,1,1,4,2,33130,1,1995,1,1998,5,.s,0,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,.n,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,.s,,.s,,.s,,1,1,3,3,3,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"1245000",5000,25.787676,-80.22414499999999,6,0,0,,0,0,0,6,4992126,4992126,1,2,1261,1126,11295,1,1,0,1,0,0,0,0,0,0,"city",1,5
962,962,"1245175","1208645175",12,"12086","086","12","45175","441","Miami Shores","61","Miami Shores","FL, Miami Shores","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,1,1,10380,10442,6359176,0,1,1,12,9,1,1,1,1,33138,1,2000,1,2001,5,1,0,1,1,.n,0,1960,1,1,0,.n,0,.n,1,1960,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,1,.n,.n,.n,.n,.n,.n,.n,0,0,3,2,1,-1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"1245175",5000,25.86524,-80.188451,6,2,0,,0,1,0,2,4992122,4992122,1,1,1221,1122,11292,1,1,0,1,0,0,0,0,0,0,"village",1,1
963,963,"1245200","1208645200",12,"12086","086","12","45200","442","Miami Springs","58","Miami Springs","FL, Miami Springs","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,0,1,13712,13677,7609960,0,1,1,12,9,1,1,1,2,33166,1,1998,1,3333,4,1,0,1,1,.n,.s,.s,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,0,0,0,0,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,1,.n,.n,.n,.n,.n,.n,.n,0,0,4,4,4,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"1245200",5000,25.819725,-80.291071,5,0,0,,0,0,0,2,4992122,4992122,0,1,1221,1122,11292,1,1,0,0,0,0,0,0,0,0,"city",1,1
969,969,"1256625","1208656625",12,"12086","086","12","56625","3752","Pinecrest","61","Pinecrest","FL, Pinecrest","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,-1,0,19055,19181,19523769,0,1,1,12,9,1,1,1,1,33156,1,1999,1,2002,5,1,2,1,1,.n,.s,1996,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,1137,.n,0,0,0,1,0,1,0,0,1,60,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,1,600,0,0,0,1,.n,.n,.n,.n,.n,.n,.n,0,0,3,3,3,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"1256625",5000,25.661931,-80.307557,6,0,0,2,0,0,0,2,4992122,4992122,1,1,1221,1122,11292,1,1,0,1,0,0,0,0,0,0,"village",1,1
972,972,"1267550","1208667550",12,"12086","086","12","67550","478","South Maimi","58","South Miami","FL, South Miami","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,1,1,10741,10939,5943614,0,1,1,12,9,1,1,1,1,33143,1,2001,1,2002,5,3,0,1,0,.n,.s,.s,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,0,0,0,0,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,,.n,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,225,0,0,0,0,66,1,,,50,1,116,2,0,2,3,4,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"1267550",5000,25.710279,-80.29517,6,0,0,,0,0,0,2,4992122,4992122,0,1,1221,1122,11292,1,1,0,1,0,0,0,0,1,0,"city",1,1
973,973,"1269555","1208669555",12,"12086","086","12","69555","483","Sunny Isles Beach","58","Sunny Isles Beach","FL, Sunny Isles Beach","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,-1,0,15315,15315,2604255,0,1,1,12,9,1,1,1,5,33160,1,2002,1,2002,5,3,0,1,0,.n,1,1997,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,109,1600,749,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,.s,.s,.s,.s,.s,.s,.s,0,0,1,1,1,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"1269550",5000,25.94127,-80.125111,6,0,0,2,0,0,0,2,4992122,4992122,1,1,1221,1122,11292,1,1,0,1,0,0,0,0,1,0,"city",1,1
964,964,"1299086","1208699999",12,"12086","086","12","99999","3339","Miami-Dade","06","Miami-Dade County","FL, Miami-Dade County","Miami-Dade County","Miami-Dade County","South","FL",4992,"Miami-Fort Lauderdale, FL CMSA",499212,-1,0,1204288,2253362,4655852578,0,3,3,2,2,3,3,4,2,33128,1,2002,1,2003,5,1,0,1,0,.n,0,1978,1,1,1,1972,1,1972,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,7350,4304,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,.n,0,0,0,1,146,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,64000,1,11000,1,,,75000,1,1,3,3,3,0,2,1989,0,1,1,1,0,1,1,4,1,0,1,1,1,"1299086",5000,25.756427,-80.30226399999999,6,2,0,3,0,1,0,6,4992126,4992126,1,2,1263,312,31290,1,1,0,1,0,0,0,0,0,0,"county",3,5
786,786,"1299089","1208999999",12,"12089","089","12","99999","446","Nassau","06","Nassau County","FL, Nassau County","Nassau County","Nassau County","South","FL",3600,"Jacksonville, FL MSA",360012,-1,0,43450,57663,1642087753,0,3,3,2,2,3,3,2,,32097,1,2002,1,.s,3,1,2,1,1,.n,0,.n,1,1,0,.n,0,.n,1,1960,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,0,0,.n,.n,2,1,0,1,3333,.n,.n,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,,.n,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,90,1,,,120,1,,0,0,2,2,2,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"1299089",3600,30.623401,-81.704762,4,2,0,,1,1,0,3,3600123,3600123,1,1,1233,312,31290,1,1,0,0,0,1,1,0,0,0,"county",3,3
1303,1303,"1201700","1209501700",12,"12095","095","12","01700","395","Apopka","58","Apopka","FL, Apopka","Orange County","Orange County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,26642,26082,62269319,0,1,1,10,6,1,1,2,,32704,1,2002,1,2002,3,1,2,1,1,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,.s,.s,.s,.s,.s,.s,.s,,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"1201700",5960,28.676075,-81.51061799999999,4,0,0,,0,0,0,3,5960123,5960123,1,1,1231,1123,11293,1,1,0,0,0,0,0,0,0,0,"city",1,2
1308,1308,"1242575","1209542575",12,"12095","095","12","42575","437","Maitland","58","Maitland","FL, Maitland","Orange County","Orange County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,12019,11934,12023094,0,1,1,7,4,1,1,1,1,32751,1,2002,1,2002,4,3,0,1,0,.n,0,.n,1,1,0,.n,0,.n,0,.n,1,1989,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,,.n,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,263,0,0,0,0,10,1,50,1,,,60,0,0,1,1,1,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,1,.s,1,"1242575",5960,28.626926,-81.366961,5,2,0,,0,1,0,2,5960122,5960122,1,1,1221,1122,11292,1,1,0,0,0,0,0,0,1,0,"city",1,1
1310,1310,"1253000","1209553000",12,"12095","095","12","53000","3348","Orlando","58","Orlando","FL, Orlando","Orange County","Orange County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,185951,185984,242151838,0,1,1,4,4,1,1,4,2,32802,1,2002,1,2003,5,1,2,2,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,6558,4643,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,20,5,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,754,1,2909,1,2389,1,6052,1,1,.s,.s,.s,.s,2,1991,0,1,1,0,1,1,0,4,1,0,1,1,1,"1253000",5960,28.533513,-81.375789,6,0,0,3,1,0,0,5,5960125,5960125,1,2,1251,1125,11295,1,1,0,1,0,1,1,0,0,0,"city",1,5
1316,1316,"1278250","1209578250",12,"12095","095","12","78250","3361","Winter Garden","58","Winter Garden","FL, Winter Garden","Orange County","Orange County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,14351,13999,31228005,0,1,1,7,4,1,1,1,2,34787,1,1999,1,1985,3,1,2,1,1,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,1,515,0,0,0,0,150,1,,,300,1,,0,0,1,2,2,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"1278250",5960,28.560328,-81.584069,4,0,0,,0,0,0,2,5960122,5960122,1,1,1221,1122,11292,1,1,0,0,0,0,0,0,0,0,"city",1,1
1317,1317,"1278300","1209578300",12,"12095","095","12","78300","3362","Winter Park","58","Winter Park","FL, Winter Park","Orange County","Orange County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,24090,24227,19013086,0,1,1,10,6,1,1,2,2,32789,1,1991,1,2002,.s,1,0,.s,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,2828,.n,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,.n,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,.s,,.s,,.s,,1,1,2,4,4,1,0,.n,.n,.n,.n,.n,.n,.n,,0,0,0,0,0,1,"1278300",5960,28.596231,-81.346531,1,0,0,3,0,0,0,3,5960123,5960123,1,1,1231,1123,11293,1,1,0,0,0,0,0,0,0,0,"city",1,2
1309,1309,"1299095","1209599999",12,"12095","095","12","99999","456","Orange","06","Orange County","FL, Orange County","Orange County","Orange County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,596164,896344,1867446363,0,3,3,1,1,3,3,4,2,32751,1,2000,1,1999,5,1,2,2,0,.n,.s,.s,1,1,1,1985,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,5121.69,3566.61,1,0,1,1,1,0,1,1,0,30,0,0,0,1,0,1,0,,.n,0,0,0,1,140,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.s,,.s,,.s,,,.s,4,4,4,0,2,8888,1,0,1,0,1,1,0,4,1,0,0,1,1,"1299095",5960,28.547129,-81.40415900000001,6,2,0,3,1,1,0,6,5960126,5960126,1,2,1263,312,31290,1,1,0,1,0,1,0,0,0,0,"county",3,5
1304,1304,"1236950","1209736950",12,"12097","097","12","36950","428","Kissimmee","58","Kissimmee","FL, Kissimmee","Osceola County","Osceola County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,47814,47558,43199783,0,1,1,10,6,1,1,2,1,34741,1,2001,1,2002,4,1,2,2,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,7465,3275,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,,.n,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,224,0,0,0,0,122,1,,,2330,1,2452,0,0,2,2,2,0,2,1994,0,1,1,0,1,1,,5,1,1,,1,1,"1236950",5960,28.303988,-81.41286700000001,5,0,0,3,1,0,0,3,5960123,5960123,1,1,1231,1123,11293,1,1,0,0,0,1,0,0,0,0,"city",1,2
1315,1315,"1262625","1209762625",12,"12097","097","12","62625","480","St. Cloud","58","St. Cloud","FL, St. Cloud","Osceola County","Osceola County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,20074,20100,23732022,0,1,1,10,6,1,1,2,1,34769,1,2002,1,2002,4,1,2,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,6997,4516,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,1,.n,.n,.n,.n,.n,.n,.n,0,0,2,2,3,1,2,1990,1,0,1,1,1,1,0,5,1,1,0,1,1,"1262625",5960,28.24659,-81.28754000000001,5,0,0,3,0,0,0,3,5960123,5960123,1,1,1231,1123,11293,1,1,0,0,0,0,0,0,0,0,"city",1,2
1311,1311,"1299097","1209799999",12,"12097","097","12","99999","458","Osceola","06","Osceola County","FL, Osceola County","Osceola County","Osceola County","South","FL",5960,"Orlando, FL MSA",596012,-1,0,104605,172493,3356781007,0,3,3,4,4,3,3,4,,34741,1,1990,1,2001,4,1,2,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,4087,1606,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,.s,.s,.s,.s,.s,.s,.s,,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"1299097",5960,28.231941,-81.31971,5,0,0,3,0,0,0,5,5960125,5960125,1,2,1253,312,31290,1,1,0,0,0,0,0,0,0,0,"county",3,5
1819,1819,"1207300","1209907300",12,"12099","099","12","07300","399","Boca Raton","58","Boca Raton","FL, Boca Raton","Palm Beach County","Palm Beach County","South","FL",8960,"West Palm Beach-Boca Raton, FL MSA",896012,-1,0,74764,75594,70419024,0,1,1,4,3,1,1,3,1,33432,1,2002,1,2002,4,1,0,0,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,1,1,1,1,1,1,1,1,1,310,0,0,0,1,0,0,0,,.n,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,.s,,.s,,.s,,1,1,2,4,4,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"1207300",8960,26.368699,-80.100077,5,0,0,,0,0,0,4,8960124,8960124,1,2,1241,1124,11294,1,1,0,0,0,0,0,0,0,0,"city",1,3
1820,1820,"1207875","1209907875",12,"12099","099","12","07875","3317","Boynton Beach","58","Boynton Beach","FL, Boynton Beach","Palm Beach County","Palm Beach County","South","FL",8960,"West Palm Beach-Boca Raton, FL MSA",896012,-1,0,60389,59951,41122134,0,1,1,4,3,1,1,3,1,33425,1,1989,1,2002,5,3,0,1,1,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,50,50,50,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,,.n,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,1,,,,,,1,1,2,3,3,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"1207875",8960,26.528099,-80.076363,6,0,0,1,0,0,0,4,8960124,8960124,1,2,1241,1124,11294,1,1,0,1,0,0,0,0,1,0,"city",1,3
